,City,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind,Country,Date
0,Sweetwater,25.7634,-80.3731,78.01,75,60,6.91,US,1616264529
1,Codrington,-38.2667,141.9667,58.75,100,90,7.52,AU,1616264529
2,Ushuaia,-54.8,-68.3,48.2,40,57,26.46,AR,1616264530
3,New Norfolk,-42.7826,147.0587,60.8,90,59,5.75,AU,1616263936
4,Vaini,-21.2,-175.2,75.2,40,100,3.44,TO,1616263949
5,Bredasdorp,-34.5322,20.0403,57.2,46,82,3.44,ZA,1616264253
6,Carnarvon,-24.8667,113.6333,78.8,0,83,10.36,AU,1616264015
7,Mossamedes,-15.1961,12.1522,74.16,41,76,8.79,AO,1616264531
8,Maniitsoq,65.4167,-52.9,30.45,100,87,6.78,GL,1616264531
9,Ilo,-17.6394,-71.3375,73.4,0,78,19.57,PE,1616264531
10,Busselton,-33.65,115.3333,69.98,0,46,5.39,AU,1616264532
11,Jamestown,42.097,-79.2353,54.0,1,21,1.66,US,1616264532
12,Vila Velha,-20.3297,-40.2925,84.2,40,65,10.36,BR,1616264533
13,Albany,42.6001,-73.9662,54.0,0,23,10.04,US,1616264533
14,Hobart,-42.8794,147.3294,60.8,90,59,5.75,AU,1616264294
15,Mataura,-46.1927,168.8643,53.01,83,95,4.0,NZ,1616264533
16,Eureka,40.8021,-124.1637,52.0,81,79,2.15,US,1616264534
17,Flekkefjord,58.2971,6.6607,43.0,100,94,18.79,NO,1616264534
18,Tiksi,71.6872,128.8694,-17.77,95,99,7.85,RU,1616264535
19,Dalbandin,28.8947,64.4101,71.47,61,34,4.81,PK,1616264535
20,Hermanus,-34.4187,19.2345,59.0,30,86,5.95,ZA,1616264535
21,Tuktoyaktuk,69.4541,-133.0374,-20.2,75,76,5.75,CA,1616264536
22,Ust-Tsilma,65.441,52.1498,4.26,51,96,2.98,RU,1616264536
23,Araouane,18.9048,-3.5265,87.55,0,9,7.16,ML,1616264537
24,Bathsheba,13.2167,-59.5167,80.6,20,54,19.57,BB,1616264537
25,Torbay,47.6666,-52.7314,28.99,75,68,21.85,CA,1616264537
26,Bullhead City,35.1478,-114.5683,78.01,40,27,9.22,US,1616264538
27,Butaritari,3.0707,172.7902,81.48,6,79,16.98,KI,1616264538
28,Gaspé,48.8334,-64.4819,30.2,75,51,4.61,CA,1616264539
29,Uíge,-7.6087,15.0613,69.94,61,95,1.88,AO,1616264539
30,Ancud,-41.8697,-73.8203,64.99,75,52,6.91,CL,1616264539
31,Saskylakh,71.9167,114.0833,-31.54,100,99,9.48,RU,1616264540
32,Atuona,-9.8,-139.0333,79.61,52,80,14.5,PF,1616264540
33,Castro,-24.7911,-50.0119,77.27,69,74,4.85,BR,1616264540
34,Nelson Bay,-32.7167,152.15,68.0,75,100,16.11,AU,1616264541
35,Hirara,24.8,125.2833,72.84,92,84,0.81,JP,1616264541
36,Upernavik,72.7868,-56.1549,3.56,97,96,11.77,GL,1616264542
37,Bethel,41.3712,-73.414,55.4,1,22,8.05,US,1616264542
38,Norman Wells,65.282,-126.8329,-7.6,75,71,10.36,CA,1616264542
39,Sola,-13.8833,167.55,73.4,95,100,1.14,VU,1616264543
40,East London,-33.0153,27.9116,69.8,0,88,14.97,ZA,1616264386
41,Matina,10.0761,-83.2895,82.4,40,74,4.61,CR,1616264543
42,Tasiilaq,65.6145,-37.6368,24.8,90,86,40.29,GL,1616264544
43,Dingcheng,32.1272,115.0394,48.09,98,81,2.08,CN,1616264544
44,Khatanga,71.9667,102.5,-36.2,72,97,10.13,RU,1616264544
45,Puerto Ayora,-0.7393,-90.3518,84.2,20,74,10.36,EC,1616264545
46,Zemio,5.0314,25.1361,73.44,76,91,5.39,CF,1616264545
47,Hilo,19.7297,-155.09,68.0,90,88,5.75,US,1616264546
48,Ponta do Sol,32.6667,-17.1,62.01,40,77,14.97,PT,1616264546
49,Fallon,39.4735,-118.7774,46.4,75,36,11.5,US,1616264546
50,Rikitea,-23.1203,-134.9692,79.45,93,77,9.15,PF,1616264547
51,Balaguer,41.7912,0.8109,54.0,20,35,6.91,ES,1616264547
52,Punta Arenas,-53.15,-70.9167,51.8,40,54,34.52,CL,1616264548
53,Jumla,29.2747,82.1838,41.83,31,77,3.29,NP,1616264548
54,Pevek,69.7008,170.3133,-26.03,67,100,1.86,RU,1616264548
55,Yellowknife,62.456,-114.3525,10.0,75,72,20.71,CA,1616264549
56,Cape Town,-33.9258,18.4232,66.0,20,68,21.85,ZA,1616264501
57,Port Keats,-14.25,129.55,78.01,100,83,5.5,AU,1616264549
58,Yulara,-25.2406,130.9889,64.4,90,100,5.75,AU,1616264550
59,Kamenka,51.3223,42.7678,22.23,92,91,5.97,RU,1616264550
60,Qaanaaq,77.484,-69.3632,-8.09,99,99,5.3,GL,1616264550
61,Haridwar,29.9667,78.1667,67.91,0,26,3.51,IN,1616264551
62,Walvis Bay,-22.9575,14.5053,63.0,3,89,5.01,NA,1616264551
63,Bengkulu,-3.8004,102.2655,77.09,99,84,3.87,ID,1616264552
64,Tateyama,34.9833,139.8667,62.01,100,83,4.0,JP,1616264552
65,Souillac,-20.5167,57.5167,78.8,75,89,12.66,MU,1616264552
66,Caravelas,-17.7125,-39.2481,82.51,1,67,8.12,BR,1616264553
67,Sharan,54.8167,54.0,23.23,100,95,10.96,RU,1616264553
68,Zheleznodorozhnyy,55.7503,38.0042,28.4,0,59,2.24,RU,1616264553
69,Lebu,-37.6167,-73.65,64.02,69,63,9.78,CL,1616264554
70,Kruisfontein,-34.0033,24.7314,69.01,29,81,1.99,ZA,1616264554
71,Prado,-17.3411,-39.2208,82.27,3,66,9.75,BR,1616264555
72,Severo-Kuril'sk,50.6789,156.125,23.27,86,84,21.81,RU,1616264555
73,Ribeira Grande,38.5167,-28.7,62.6,20,77,16.11,PT,1616264556
74,Saint-Augustin,51.226,-58.6502,21.63,0,69,10.31,CA,1616264556
75,Marshfield,44.6689,-90.1718,54.0,1,28,12.66,US,1616264556
76,Avarua,-21.2078,-159.775,78.8,75,94,6.91,CK,1616264426
77,Rūdbār,30.15,62.6,74.66,74,32,6.38,AF,1616264557
78,Cabo San Lucas,22.8909,-109.9124,84.99,20,26,5.75,MX,1616264464
79,Cairns,-16.9167,145.7667,73.4,94,83,5.75,AU,1616264304
80,Vallenar,-28.5708,-70.7581,83.68,0,23,10.71,CL,1616264558
81,Mar del Plata,-38.0023,-57.5575,66.99,90,88,5.75,AR,1616264506
82,Bilma,18.6853,12.9164,91.2,3,13,6.24,NE,1616264558
83,Roald,62.5833,6.1333,39.2,75,75,13.8,NO,1616264558
84,Tcholliré,8.4022,14.1698,87.93,83,35,2.37,CM,1616264559
85,Arica,-18.475,-70.3042,73.4,0,60,16.11,CL,1616264559
86,Lake Havasu City,34.4839,-114.3224,75.2,1,25,8.05,US,1616264560
87,Uitenhage,-33.7576,25.3971,69.01,75,94,13.8,ZA,1616264560
88,Yar-Sale,66.8333,70.8333,-13.97,100,87,13.04,RU,1616264560
89,Hong Kong,22.2855,114.1577,75.0,12,85,0.65,HK,1616264561
90,Ingham,42.6,-84.3833,55.0,1,25,4.61,US,1616264561
91,Tuatapere,-46.1333,167.6833,53.01,63,95,4.0,NZ,1616264562
92,Mwinilunga,-11.7358,24.4293,64.78,18,90,2.48,ZM,1616264562
93,Samarai,-10.6167,150.6667,82.8,74,77,7.72,PG,1616264292
94,Acapulco de Juárez,16.8634,-99.8901,84.2,1,65,5.75,MX,1616264563
95,Bodden Town,19.2833,-81.25,84.2,20,65,10.36,KY,1616264563
96,Provideniya,64.3833,-173.3,0.7,100,81,14.52,RU,1616264563
97,Tazovsky,67.4667,78.7,-18.8,70,81,14.38,RU,1616264565
98,Saint Paul Harbor,57.79,-152.4072,35.6,90,87,4.61,US,1616264285
99,Faanui,-16.4833,-151.75,82.71,45,64,5.48,PF,1616264565
